label,text,cleaned_text,Topic,Probability,Topic_Label
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,nordea group oper profit increas percent yearonyear billion euro total revenu percent billion euro,-1,0.0,outlier
positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",oper profit ninemonth period increas eur net sale increas eur compar correspond period,27,1.0,period
positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",oper profit ninemonth period increas eur net sale increas eur compar correspond period,27,1.0,period
positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",oper profit threemonth period increas eur revenu increas eur compar correspond period,65,1.0,turnov
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",brazilian unit finnish secur solut provid fsecur sign new client last year onlin news sourc resel web quot divis commerci director vladimir brand_o say,-1,0.0,outlier
positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",compani net profit rose year million euro sale million euro year compani said earlier,-1,0.0,outlier
positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",lithuanian beer market made million liter januari rise percent yearearli figur lithuanian brewer associ report cite result member,16,1.0,beer
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",vike line cargo revenu increas eur mn cargo volum increas cargo unit,36,0.7378129198033645,cargotec
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",fair valu properti portfolio doubl result kapite acquisit total eur million,61,1.0,fair
positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,februari finnish medium compani sanoma oyj hel saav said yesterday net profit almost tripl eur eur announc propos rais payout,49,0.3048840829940412,adp
positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",helsinki eliiv today report ep eur increas ep eur,-1,0.0,outlier
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",aspo plc stock exchang releas februari esl ship ltd part aspo group sign new longterm contract rautaruukki corpor marin transport raw materi baltic sea,-1,0.0,outlier
positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",commiss incom increas eur mn lend volum rose,-1,0.0,outlier
positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",januari traffic measur revenu passeng kilometr rpk went capac measur avail seat kilometr ask rose,101,1.0,traffic
positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",januaryseptemb fiskar net profit went yearonyear eur million net sale eur million eur million,14,0.8621664146097141,million
positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",net incom life insur rose eur mn eur mn net incom nonlif insur eur mn eur mn,-1,0.0,outlier
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",nyrstar also agre suppli talvivaara tonn sulphur acid per annum use talvivaara leach process period suppli zinc concentr,17,1.0,mine
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",sale depart store divis hobbi hall increas sale cloth store subsidiari seppala decreas,31,1.0,store
positive,Sales have risen in other export markets .,sale risen export market,10,0.5950889579642744,sale
positive,Sales increased due to growing market rates and increased operations .,sale increas due grow market rate increas oper,-1,0.0,outlier
positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,agreement strengthen longterm partnership nokia siemen network,2,1.0,nokia
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",agreement sign biohit healthcar ltd ukbas subsidiari biohit oyj finnish public compani develop manufactur market liquid handl product diagnost test system,-1,0.0,outlier
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,compani also estim alreadi carri invest lead increas net sale reach eur million,-1,0.0,outlier
positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",compani order book stood bln euro bln septemb pct year intern order amount mln euro mln,-1,0.0,outlier
positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",compani said paper demand increas main market includ public paper increas averag paper price percent compar last year,7,0.40663271898983566,paper
positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",world second largest stainless steel maker said net profit threemonth period dec surg euro million u million euro u per share euro million euro per share previous year,-1,0.0,outlier
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",within framework partnership nokia siemen network sign initi framework purchas agreement sitron subsidiari jsc mikron largest manufactur export microelectron compon russia,2,1.0,nokia
positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",seppala revenu increas eur finland revenu went eur sale abroad rose eur sale increas baltic countri well russia ukrain,10,0.5272490083542022,sale
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",share standard charter stan rose ftse royal bank scotland rb share rose barclay share barc bcs,1,0.8526740720925677,bank
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,share nokia corp rose thursday cell phone maker said thirdquart earn almost doubl share global handset market increas,2,0.9160300219876322,nokia
positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",financi report publish friday seb said net profit soar sek bn yearearli sek bn propos dividend increas sek per share,39,0.7027362225890627,dividend
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,sale depart store divis increas sale cloth store subsidiari seppala increas meanwhil sale hobbi hall decreas,31,1.0,store
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",request finnish medium compani alma medium newspap research manag jari kaivooja finland futur research centr turku school econom drawn futur scenario finland nation economi use model develop univers denver,-1,0.0,outlier
neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",sweden gallerix accumul sek denomin sale eur denomin sale,10,0.6903467829554041,sale
neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,compani support global custom develop new technolog offer fast rout product develop applic volum product,73,0.872828974096384,servic
neutral,"When this investment is in place , Atria plans to expand into the Moscow market .",invest place atrium plan expand moscow market,0,0.8563993391165158,build
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",new agreement continu theagreement sign earlier year lemminkainen group wherebi cramo acquir entir construct machin fleet oflemminkainen talo oy ita ja pohjoi suomo sign asimilar agreement said tatu hauhio manag director ofcramo finland,3,1.0,agreement
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",first contract envisag construct three ferryboat option two unit confirm total valu mln euro mln,-1,0.0,outlier
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",june sold percent stake nordstjernan invest group taken option acquir eqt remain share,-1,0.0,outlier
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",kesko corpor stock exchang releas kesko corpor aspo plc today sign agreement aspo acquir share capit kaukotelko ltd subsidiari wholli own kesko,-1,0.0,outlier
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,sponda plc stock exchang releas decemb eur billion syndic credit facil sponda sponda sign agreement oneyear syndic credit facil total eur billion,1,0.7523843623905447,bank
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,stock exchang announc juli baswar share subscript warrant increas share capit total share subscrib baswar warrant program,55,0.7786774451775179,option
positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",contract cover hdo platform ac cxe optic fttb node design increas forward return path capac transmiss network,12,1.0,mobil
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,new plant plan electr generat capac megawatt mw heat generat capac,5,1.0,heat
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",omx helsinki index pct helsinki cap portfolio index pct higher,53,0.6490814358848629,pct
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .",sale growth car consider influenc tire market,50,0.2101204837426634,tyre
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",maximum new share subscrib exercis b option stock option plan,55,1.0,option
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",result share issu number compani share increas share share capit total eur,4,0.9921533887913953,share
neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",finnish real estat investor sponda plc said wednesday march sign agreement dansk bank helsinki branch year eurm credit facil ilmarinen mutual pension insur compani year eurm credit facil,1,0.5371769481519947,bank
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",rout helsinki finland tallinn estonia cargo volum increas cargo volum finland sweden fell,36,0.48307367271682383,cargotec
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",measur includ increas synergi economi scale within grimaldi group personnel adjust divest redeliveri excess tonnag,-1,0.0,outlier
positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",rinkuskiai rais sale percent million liter sale kauno alus grew percent liter,16,0.2729380598309617,beer
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,telecomworldwir april tj group plc sell stake morn digit design oy finnish compani tj group plc said friday april sign agreement sell share morn digit design oy edita oyj,-1,0.0,outlier
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,telecomworldwir april tj group plc sell stake morn digit design oy finnish compani tj group plc said friday april sign agreement sell share morn digit design oy edita oyj,-1,0.0,outlier
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",new seri share becom subject trade helsinki stock exchang main list togeth old seri share juli,-1,0.0,outlier
neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,fuel purchas contract sign three month deliveri septemb novemb,-1,0.0,outlier
neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,tiimari oper store six countri includ core finnish market generat turnov mln eur,10,0.6553680545731678,sale
positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,agreement biohit becom focus supplier pipettor dispos pipettor tip vwr custom throughout europ,116,1.0,pipett
positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",combin servic enabl u offer complex strengthen servic chain limit baltic port connect also get access world wide grimaldi network mediterranean africa north america say uwe bakosch,8,0.9719565220794592,data
neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,blindspot come vantag point allow investig see whole stori high resolut unbroken video,-1,0.0,outlier
positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",compani still expect turnov slight increas level ad market predict still poor trustworthi forecast market develop contract manufactur busi current year,-1,0.0,outlier
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,acquisit consider increas kemira sale market posit russian metal industri coat market,42,0.41347873846842154,russia
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",januaryseptemb finnlin net sale rose eur mn eur mn correspond period,54,1.0,mn
positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",adjust chang group structur divis net sale increas,-1,0.0,outlier
positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",chang optim oper effici grow busi said julia prohaska director market communic fiskar,-1,0.0,outlier
positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",would invest physic infrastructur would also provid knowhow manag develop scienc technolog park said sunris valley director andrius bagdona,-1,0.0,outlier
positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",februari finnish broadband data communic system provid telest oyj hel tltv saw net profit jump eur last quarter eur period,49,0.3702862718731257,adp
positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,finnish aktia group oper profit rose eur mn first quarter eur mn first quarter,13,0.19765847739990067,mn
positive,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,finnish bank _land consolid net oper profit increas eur mn first quarter eur mn first quarter,115,1.0,_land
positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",finnish financi group aktia report oper profit eur mn januaryseptemb eur mn correspond period,57,0.5712748527541743,period
positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",finnish high technolog provid vaahto group report net sale eur mn account period septemb februari increas year earlier,-1,0.0,outlier
positive,Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,net sale finnish food industri compani lænnen tehtaat continu oper increas eur mn eur mn,97,0.8925321119005708,food
positive,An individual promotion also generated slightly higher-than-expected revenues .,individu promot also generat slight higherthanexpect revenu,-1,0.0,outlier
positive,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,biohit alreadi servic mani current genesi custom custom base expect expand result agreement,90,1.0,product
positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",oper profit turnov threemonth period increas respect eur eur compar correspond period,65,1.0,turnov
positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,circul revenu increas finland sweden,6,0.9476952985588396,finland
positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,cloth chain seppælæ net sale increas eur mn,54,0.4428635422137547,mn
positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,construct volum meanwhil grow rate percent annual,47,0.4355351482088806,tonn
positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,finnish swedish construct market still experienc estim annual growth,10,0.7442593356566497,sale
positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",howev biohit estim total net sale continu grow favour trend net sale lead profit,-1,0.0,outlier
positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",fiskar cash flow oper activ amount eurm eurm previous year,52,0.3288720103958077,cash
positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",lithuania oper profit rose eur eur correspond period,-1,0.0,outlier
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",fourth quarter net sale increas eur mn eur mn fourth quarter,76,0.9998114938592052,mn
positive,"International sales rose by 59.8 % to EUR 1,244.4 mn .",intern sale rose eur mn,-1,0.0,outlier
neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,kalmar espana generat net sale mln euro mln,23,0.9888850793652526,mln
positive,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,net sale grew period xac million u million xac million,14,0.49791430512673446,million
positive,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,net sale increas eurm april june eurm year earlier,27,0.8789105456012538,period
positive,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",net sale rose yearonyear eur number charger deliv went million piec,14,1.0,million
positive,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",net sale total eur mn eur mn correspond period,54,1.0,mn
positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",nokia also note averag sell price handset declin period though mobil phone profit margin rose percent percent yearago quarter,2,1.0,nokia
positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,oper profit increas eur mn eur mn,13,0.6340018940948127,mn
positive,Operating profit margin increased from 11.2 % to 11.7 % .,oper profit margin increas,85,0.7571027093711875,margin
positive,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,oper profit rose eur mn eur mn correspond period,-1,0.0,outlier
positive,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,oper profit rose eur mn eur mn fourth quarter,13,0.3880800409835439,mn
positive,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",oper profit eur mn eur mn,13,1.0,mn
positive,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",ramir net sale second quarterend june euro million u million percent increas compar euro million thesecond quarter last year,14,1.0,million
positive,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",revenu grew percent xac million million xac million,15,1.0,revenu
positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,ruukki announc sign agreement aker solut norway suppli suction anchor septemb kalajoki unit finland,-1,0.0,outlier
positive,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",ruukki deliveri volum sell price show favour develop compani compar net sale grew yearonyear eurm ceo sakari tamminen said,19,1.0,price
positive,Sanoma Magazines ' net sales are estimated to grow in 2006 .,sanoma magazin net sale estim grow,-1,0.0,outlier
positive,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,bank forecast finland gdp grow,115,1.0,_land
positive,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",circuit overal product rate week basi excess averag tonn per day volum excess tonn per day reach individu day,47,0.6314707078019898,tonn
